Ano;Unidade Geográfica;Localização;Dependência Administrativa;Total Aprovação no Ens. Fundamental;Total Aprovação Médio;Total  Aprovação Médio Não-Seriado;Total Reprovação no Ens. Fundamental;Total Reprovação no Ens. Médio;Total  Reprovação Médio Não-Seriado;Total Abandono no Ens. Fundamental;Total Abandono Médio;Total  Abandono Médio Não-Seriado;;;;;;;;;
2015;Brasil;Urbana;Pública;88,9;79,7;83,7;9,0;12,6;9,0;2,1;7,7;7,3;;;;;;;;;
2015;Brasil;Urbana;Federal;93,6;84,7;85,0;6,3;12,7;10,3;0,1;2,6;4,7;;;;;;;;;
2015;Brasil;Urbana;Estadual;88,1;79,6;82,1;9,5;12,6;7,7;2,4;7,8;10,2;;;;;;;;;
2015;Brasil;Urbana;Municipal;89,4;84,4;84,1;8,7;10,6;3,8;1,9;5,0;12,1;;;;;;;;;
2015;Brasil;Urbana;Particular;97,0;94,5;91,0;2,8;5,1;1,9;0,2;0,4;7,1;;;;;;;;;
2015;Brasil;Rural;Pública;86,5;82,4;79,9;10,2;8,5;10,2;3,3;9,1;9,9;;;;;;;;;
2015;Brasil;Rural;Federal;94,1;86,4;91,0;5,9;10,7;4,7;0,0;2,9;4,3;;;;;;;;;
2015;Brasil;Rural;Estadual;86,9;82,1;76,6;9,3;8,4;11,9;3,8;9,5;11,5;;;;;;;;;
2015;Brasil;Rural;Municipal;86,5;83,0;79,2;10,3;6,9;0,0;3,2;10,1;20,8;;;;;;;;;
2015;Brasil;Rural;Particular;94,6;92,8;91,8;4,8;3,9;3,5;0,6;3,3;4,7;;;;;;;;;
2015;Norte;Urbana;Pública;86,6;75,2;81,7;10,1;10,5;4,9;3,3;14,3;13,4;;;;;;;;;
2015;Norte;Urbana;Federal;91,3;83,6;84,7;8,7;12,7;12,5;0,0;3,7;2,8;;;;;;;;;
2015;Norte;Urbana;Estadual;85,0;75,0;81,6;10,8;10,5;4,6;4,2;14,5;13,8;;;;;;;;;
2015;Norte;Urbana;Municipal;87,7;82,6;--;9,6;9,3;--;2,7;8,1;--;;;;;;;;;
2015;Norte;Urbana;Particular;97,4;94,5;66,1;2,3;4,6;0,3;0,3;0,9;33,6;;;;;;;;;
2015;Norte;Rural;Pública;82,6;79,3;81,1;12,0;7,1;14,8;5,4;13,6;4,1;;;;;;;;;
2015;Norte;Rural;Federal;--;87,2;89,4;--;10,9;8,5;--;1,9;2,1;;;;;;;;;
2015;Norte;Rural;Estadual;83,6;79,0;62,8;10,2;6,9;28,9;6,2;14,1;8,3;;;;;;;;;
2015;Norte;Rural;Municipal;82,4;92,3;--;12,3;4,8;--;5,3;2,9;--;;;;;;;;;
2015;Norte;Rural;Particular;89,3;91,0;92,5;9,4;2,9;1,5;1,3;6,1;6,0;;;;;;;;;
2015;Nordeste;Urbana;Pública;83,4;78,7;80,9;12,7;12,5;11,8;3,9;8,8;7,3;;;;;;;;;
2015;Nordeste;Urbana;Federal;96,2;81,7;81,6;3,8;14,7;14,3;0,0;3,6;4,1;;;;;;;;;
2015;Nordeste;Urbana;Estadual;77,2;78,6;79,6;17,8;12,4;6,8;5,0;9,0;13,6;;;;;;;;;
2015;Nordeste;Urbana;Municipal;84,7;78,3;75,0;11,6;7,4;8,9;3,7;14,3;16,1;;;;;;;;;
2015;Nordeste;Urbana;Particular;96,5;94,0;94,7;3,2;5,4;4,2;0,3;0,6;1,1;;;;;;;;;
2015;Nordeste;Rural;Pública;85,8;81,4;93,4;10,9;9,0;2,1;3,3;9,6;4,5;;;;;;;;;
2015;Nordeste;Rural;Federal;94,1;86,9;67,2;5,9;9,4;19,0;0,0;3,7;13,8;;;;;;;;;
2015;Nordeste;Rural;Estadual;78,5;81,2;97,2;14,4;9,0;0,2;7,1;9,8;2,6;;;;;;;;;
2015;Nordeste;Rural;Municipal;86,1;80,5;79,2;10,8;7,3;0,0;3,1;12,2;20,8;;;;;;;;;
2015;Nordeste;Rural;Particular;94,8;91,2;88,9;4,5;4,4;11,1;0,7;4,4;0,0;;;;;;;;;
